iter	Passed	Remaining
870	711616	2556427
871	712431	2555603
872	713153	2554446
873	713969	2553625
874	714710	2552538
875	715540	2551768
876	716348	2550920
877	717176	2550144
878	717855	2548836
879	718626	2547858
880	719370	2546782
881	720230	2546120
882	720963	2545010
883	721666	2543794
884	722451	2542864
885	723301	2542167
886	724151	2541471
887	724848	2540236
888	725655	2539384
889	726460	2538530
890	727318	2537859
891	728143	2537072
892	728940	2536191
893	729762	2535394
894	730586	2534604
895	731378	2533702
896	732152	2532740
897	732895	2531672
898	733766	2531044
899	734544	2530098
900	735378	2529344
901	736274	2528800
902	737107	2528042
903	737821	2526875
904	738703	2526284
905	739647	2525903
906	740527	2525306
907	741371	2524581
908	742179	2523735
909	742864	2522473
910	743650	2521554
911	744408	2520539
912	745219	2519707
913	745930	2518534
914	746749	2517728
915	747490	2516659
916	748308	2515852
917	749186	2515243
918	750408	2515786
919	751486	2515845
920	752553	2515865
921	753428	2515242
922	754252	2514448
923	755179	2513995
924	756039	2513321
925	756974	2512894
926	757817	2512161
927	758683	2511503
928	759447	2510510
929	760363	2510018
930	761174	2509177
931	761945	2508206
932	762841	2507647
933	763767	2507184
934	764542	2506226
935	765455	2505723
936	766319	2505053
937	767181	2504380
938	767918	2503298
939	768680	2502301
940	769523	2501563
941	770306	2500635
942	771113	2499782
943	772021	2499257
944	772788	2498275
945	773589	2497402
946	774369	2496461
947	775159	2495554
948	775937	2494609
949	776767	2493832
950	777657	2493246
951	778550	2492669
952	779327	2491722
953	780102	2490767
954	780874	2489805
955	781747	2489161
956	782430	2487916
957	783149	2486784
958	784071	2486298
959	784923	2485591
960	785805	2484977
961	786613	2484128
962	787444	2483353
963	788369	2482873
964	789166	2481988
965	789977	2481151
966	790856	2480526
967	791660	2479662
968	792566	2479121
969	793471	2478577
970	794351	2477950
971	795121	2476982
972	795845	2475871
973	796641	2474985
974	797461	2474174
975	798248	2473260
976	798983	2472188
977	799659	2470930
978	800528	2470271
979	801404	2469635
980	802194	2468729
981	803111	2468218
982	803953	2467474
983	804697	2466430
984	805517	2465618
985	806295	2464680
986	807053	2463678
987	807941	2463076
988	809026	2463072
989	810116	2463082
990	810960	2462340
991	811866	2461789
992	812682	2460963
993	813529	2460231
994	814382	2459517
995	815190	2458667
996	815949	2457668
997	816840	2457067
998	817786	2456633
999	818646	2455939
1000	819554	2455387
1001	820336	2454460
1002	821177	2453707
1003	821984	2452853
1004	822815	2452071
1005	823588	2451116
1006	824283	2449929
1007	825229	2449489
1008	826016	2448579
1009	826910	2447983
1010	827848	2447516
1011	828696	2446784
1012	829565	2446111
1013	830417	2445390
1014	831356	2444926
1015	832427	2444846
1016	833570	2444977
1017	834698	2445058
1018	835727	2444850
1019	836856	2444934
1020	837890	2444737
1021	838728	2443964
1022	839801	2443880
1023	840697	2443277
1024	841939	2443676
1025	843145	2443971
1026	844170	2443737
1027	845160	2443402
1028	846331	2443585
1029	847624	2444121
1030	848853	2444468
1031	849768	2443907
1032	850790	2443654
1033	852034	2444035
1034	853338	2444589
1035	854344	2444283
1036	855355	2443990
1037	856351	2443654
1038	857198	2442892
1039	858061	2442175
1040	858993	2441653
1041	859815	2440818
1042	860819	2440501
1043	861645	2439678
1044	862846	2439915
1045	864069	2440212
1046	865306	2440543
1047	866521	2440813
1048	867480	2440357
1049	868595	2440338
1050	869499	2439727
1051	870527	2439463
1052	871324	2438549
1053	872321	2438197
1054	873309	2437815
1055	874354	2437593
1056	875351	2437235
1057	876213	2436504
1058	877219	2436168
1059	878247	2435893
1060	878960	2434746
1061	879938	2434331
1062	880772	2433517
1063	881488	2432378
1064	882221	2431286
1065	882998	2430317
1066	883977	2429902
1067	884746	2428911
1068	885636	2428252
1069	886484	2427477
1070	887290	2426587
1071	888114	2425744
1072	888911	2424831
1073	889730	2423976
1074	890584	2423218
1075	891513	2422662
1076	892395	2421978
1077	893147	2420944
1078	893918	2419959
1079	894684	2418961
1080	895497	2418091
1081	896352	2417334
1082	897093	2416270
1083	897928	2415461
1084	898789	2414719
1085	899723	2414176
1086	900550	2413342
1087	901442	2412684
1088	902338	2412036
1089	903206	2411312
1090	903966	2410302
1091	904855	2409633
1092	905691	2408824
1093	906418	2407726
1094	907244	2406891
1095	908086	2406098
1096	908929	2405306
1097	909709	2404351
1098	910623	2403748
1099	911369	2402700
1100	912269	2402061
1101	913063	2401140
1102	914059	2400753
1103	915230	2400821
1104	915969	2399758
1105	916844	2399049
1106	917695	2398277
1107	918524	2397447
1108	919357	2396628
1109	920236	2395930
1110	921005	2394945
1111	921841	2394135
1112	922569	2393043
1113	923306	2391976
1114	924102	2391062
1115	925140	2390774
1116	926216	2390583
1117	927305	2390424
1118	928359	2390174
1119	929453	2390023
1120	930418	2389539
1121	931532	2389439
1122	932567	2389133
1123	933437	2388405
1124	934404	2387921
1125	935313	2387291
1126	936104	2386361
1127	937137	2386044
1128	938146	2385667
1129	939056	2385036
1130	939838	2384082
1131	940681	2383280
1132	941575	2382608
1133	942537	2382109
1134	943433	2381443
1135	944325	2380764
1136	945084	2379751
1137	945875	2378819
1138	946607	2377738
1139	947439	2376908
1140	948238	2375997
1141	949085	2375206
1142	949888	2374305
1143	950667	2373345
1144	951527	2372585
1145	952458	2372002
1146	953199	2370947
1147	954045	2370155
1148	954806	2369150
1149	955649	2368347
1150	956456	2367457
1151	957239	2366509
1152	958118	2365796
1153	959083	2365296
1154	959888	2364400
1155	960688	2363493
1156	961590	2362835
1157	962397	2361946
1158	963187	2361015
1159	964021	2360191
1160	964855	2359366
1161	965727	2358635
1162	966565	2357821
1163	967451	2357125
1164	968427	2356644
1165	969322	2355968
1166	970118	2355051
1167	970893	2354084
1168	971626	2353016
1169	972593	2352511
1170	973434	2351703
1171	974297	2350949
1172	975084	2350012
1173	975926	2349205
1174	976736	2348323
1175	977584	2347533
1176	978367	2346586
1177	979269	2345924
1178	979953	2344740
1179	980742	2343807
1180	981527	2342866
1181	982146	2341531
1182	982890	2340493
1183	983826	2339912
1184	984635	2339028
1185	985393	2338023
1186	986203	2337145
1187	987076	2336412
1188	987869	2335493
1189	988709	2334682
1190	989579	2333944
1191	990416	2333128
1192	991160	2332093
1193	992075	2331461
1194	992813	2330411
1195	993526	2329304
1196	994207	2328123
1197	995035	2327286
1198	995865	2326455
1199	996704	2325644
1200	997447	2324608
1201	998171	2323530
1202	999024	2322753
1203	999871	2321961
1204	1000760	2321266
1205	1001571	2320390
1206	1002395	2319544
1207	1003209	2318676
1208	1004055	2317881
1209	1004755	2316749
1210	1005664	2316100
1211	1006540	2315375
1212	1007494	2314828
1213	1008333	2314016
1214	1009216	2313305
1215	1009965	2312289
1216	1010818	2311510
1217	1011652	2310686
1218	1012536	2309977
1219	1013454	2309346
1220	1014298	2308546
1221	1015132	2307723
1222	1016098	2307200
1223	1016885	2306270
1224	1017738	2305490
1225	1018525	2304559
1226	1019296	2303593
1227	1020196	2302918
1228	1020894	2301788
1229	1021776	2301073
1230	1022795	2300665
1231	1023811	2300251
1232	1024788	2299748
1233	1025628	2298937
1234	1026580	2298375
1235	1027598	2297962
1236	1028603	2297519
1237	1029493	2296819
1238	1030348	2296037
1239	1031068	2294959
1240	1031874	2294071
1241	1032722	2293276
1242	1033686	2292739
1243	1034679	2292263
1244	1035683	2291813
1245	1036589	2291146
1246	1037513	2290517
1247	1038323	2289637
1248	1039154	2288802
1249	1040049	2288108
1250	1040916	2287353
1251	1041708	2286433
1252	1042572	2285671
1253	1043378	2284782
1254	1044092	2283691
1255	1044884	2282773
1256	1045728	2281966
1257	1046646	2281324
1258	1047419	2280363
1259	1048338	2279720
1260	1049276	2279117
1261	1050108	2278286
1262	1050940	2277453
1263	1051949	2277003
1264	1052685	2275965
1265	1053422	2274926
1266	1054068	2273693
1267	1054895	2272850
1268	1055794	2272163
1269	1056646	2271372
1270	1057430	2270438
1271	1058123	2269307
1272	1058955	2268477
1273	1059828	2267732
1274	1060644	2266868
1275	1061366	2265801
1276	1062137	2264838
1277	1062846	2263747
1278	1063493	2262522
1279	1064305	2261648
1280	1065022	2260575
1281	1065710	2259440
1282	1066593	2258717
1283	1067391	2257814
1284	1068148	2256827
1285	1068907	2255844
1286	1069767	2255072
1287	1070617	2254281
1288	1071520	2253600
1289	1072330	2252726
1290	1073136	2251840
1291	1073988	2251052
1292	1074813	2250209
1293	1075705	2249504
1294	1076576	2248756
1295	1077515	2248150
1296	1078331	2247285
1297	1078991	2246097
1298	1079727	2245067
1299	1080405	2243919
1300	1081232	2243079
1301	1082067	2242257
1302	1082839	2241302
1303	1083637	2240404
1304	1084497	2239633
1305	1085282	2238707
1306	1086080	2237807
1307	1086812	2236773
1308	1087647	2235949
1309	1088420	2235001
1310	1089314	2234299
1311	1090124	2233426
1312	1090969	2232624
1313	1091765	2231720
1314	1092558	2230813
1315	1093407	2230019
1316	1094161	2229031
1317	1094909	2228033
1318	1095735	2227192
1319	1096544	2226317
1320	1097415	2225568
1321	1098314	2224875
1322	1099122	2223998
1323	1099819	2222897
1324	1100727	2222223
1325	1101634	2221546
1326	1102523	2220833
1327	1103262	2219816
1328	1104062	2218925
1329	1104754	2217814
1330	1104891	2215593
1331	1105719	2214759
1332	1106467	2213765
1333	1107212	2212765
1334	1108137	2212124
1335	1109041	2211442
1336	1109860	2210589
1337	1110800	2209978
1338	1111691	2209269
1339	1112482	2208361
1340	1113208	2207323
1341	1114079	2206574
1342	1114963	2205850
1343	1115866	2205165
1344	1116779	2204497
1345	1117524	2203499
1346	1118320	2202601
1347	1119261	2201989
1348	1120096	2201168
1349	1121073	2200626
1350	1121925	2199837
1351	1122997	2199481
1352	1123942	2198872
1353	1124674	2197850
1354	1125474	2196959
1355	1126357	2196231
1356	1127070	2195170
1357	1128022	2194577
1358	1128851	2193743
1359	1129718	2192982
1360	1130485	2192028
1361	1131337	2191238
1362	1132179	2190431
1363	1133023	2189626
1364	1133854	2188795
1365	1134573	2187749
1366	1135406	2186923
1367	1136258	2186134
1368	1137075	2185277
1369	1137903	2184441
1370	1138644	2183440
1371	1139412	2182489
1372	1140226	2181628
1373	1140974	2180640
1374	1141720	2179648
1375	1142518	2178755
1376	1143430	2178080
1377	1144211	2177157
1378	1145093	2176424
1379	1145897	2175543
1380	1146696	2174654
1381	1147501	2173775
1382	1148236	2172766
1383	1149021	2171849
1384	1149801	2170924
1385	1150632	2170096
1386	1151438	2169220
1387	1152260	2168374
1388	1153040	2167450
1389	1153828	2166542
1390	1154598	2165598
1391	1155333	2164591
1392	1156049	2163547
1393	1156742	2162461
1394	1157510	2161516
1395	1158370	2160743
1396	1159158	2159834
1397	1159866	2158777
1398	1160663	2157888
1399	1161501	2157073
1400	1162355	2156289
1401	1163201	2155490
1402	1164035	2154667
1403	1164944	2153985
1404	1165898	2153386
1405	1166593	2152307
1406	1167603	2151809
1407	1168437	2150987
1408	1169216	2150063
1409	1170014	2149175
1410	1170830	2148320
1411	1171599	2147379
1412	1172542	2146757
1413	1173426	2146026
1414	1174361	2145387
1415	1175160	2144502
1416	1176037	2143758
1417	1176893	2142975
1418	1177723	2142145
1419	1178641	2141474
1420	1179639	2140950
1421	1180466	2140114
1422	1181330	2139345
1423	1182220	2138624
1424	1183061	2137812
1425	1183955	2137098
1426	1184805	2136303
1427	1185701	2135590
1428	1186566	2134823
1429	1187383	2133968
1430	1188304	2133302
1431	1189087	2132385
1432	1189875	2131480
1433	1190704	2130647
1434	1191468	2129698
1435	1192352	2128962
1436	1193126	2128033
1437	1194045	2127360
1438	1194787	2126372
1439	1195559	2125438
1440	1196346	2124532
1441	1197116	2123595
1442	1197935	2122745
1443	1198764	2121913
1444	1199676	2121226
1445	1200658	2120664
1446	1201490	2119838
1447	1202322	2119009
1448	1203010	2117930
1449	1203884	2117176
1450	1204698	2116316
1451	1205494	2115426
1452	1206313	2114576
1453	1207251	2113936
1454	1208047	2113046
1455	1208809	2112095
1456	1209594	2111187
1457	1210388	2110294
1458	1211138	2109323
1459	1211885	2108349
1460	1212688	2107471
1461	1213451	2106524
1462	1214234	2105613
1463	1215022	2104710
1464	1215797	2103785
1465	1216666	2103024
1466	1217481	2102168
1467	1218215	2101172
